package_name,num_dependencies,num_dev_dependencies,has_scripts,description_length,repository_exists,license_exists,num_js_files,package_name_length,has_bin,has_install_script,num_install_scripts,num_maintainers,many_maintainers_flag,num_contributors,maintainer_to_contributor_ratio,days_since_last_update,inactive_package_flag,label
seller-webchat-service@9.4.9,0,0,1,0,0,1,1,22,0,1,1,1,0,0,1.0,0,0,1
hackbron@1.0.3,0,0,1,0,0,0,1,8,0,1,1,1,0,0,1.0,0,0,1
node-polyfill-webpack-plugins@99.11.18,0,0,1,0,0,1,1,29,0,1,1,1,0,0,1.0,0,0,1
npmrcetest@1.0.0,0,0,1,23,0,1,1,10,0,1,1,1,0,0,1.0,0,0,1
aws-iot-samples-util@1.0.0,0,0,1,0,0,1,1,20,0,0,0,1,0,0,1.0,0,0,1
openai-realtime-console-plugin@1.1.1,0,0,1,120,0,1,1,30,0,1,1,1,0,0,1.0,0,0,1
epic-visualizations@1.0.0,0,0,1,0,0,1,0,19,0,0,0,1,0,0,1.0,0,0,1
nano-css@5.6.2,8,29,1,34,1,1,72,8,0,0,0,1,0,0,1.0,0,0,1
syntax-dynamic-import@10.0.0,1,1,1,3,0,1,1,21,0,0,0,1,0,0,1.0,0,0,1
seaborn@1.0.0,0,0,1,82,0,1,2,7,0,1,1,1,0,0,1.0,0,0,1
elf-stats-sparkly-train-831@1.0.0,1,0,0,49,0,1,1,27,0,0,0,1,0,0,1.0,0,0,1
elf-stats-sparkly-train-831@1.0.3,0,0,0,49,0,1,1,27,0,0,0,1,0,0,1.0,0,0,1
elf-stats-sparkly-train-831@1.0.9,0,0,1,49,0,1,1,27,0,1,1,1,0,0,1.0,0,0,1
zqdl111@11.1.1,0,0,1,0,0,1,1,7,0,1,1,1,0,0,1.0,0,0,1
chai-as-deployed@2.3.1,4,1,1,114,0,1,17,16,0,0,0,1,0,0,1.0,0,0,1
http-long-poll-server@6.5.8,0,0,1,0,0,1,1,21,0,1,1,1,0,0,1.0,0,0,1
npmrunnode-fetch-test@1337.1.0,0,0,1,448,0,1,1,21,0,1,1,1,0,0,1.0,0,0,1
hotmart@0.0.1,0,0,1,8,0,1,1,7,0,1,1,1,0,0,1.0,0,0,1
tailwindcss-forms@1.0.3,15,37,1,46,1,1,122,17,1,1,1,1,0,3,0.33,0,0,1
solaraexecutor@1.0.0,3,0,1,3,0,0,1,14,1,1,1,1,0,0,1.0,0,0,1
webxr-input-profiles@1.0.0,0,0,1,5,0,1,1,20,0,1,1,1,0,0,1.0,0,0,1
webpack-next@2.0.0,0,0,1,0,0,1,1,12,0,0,0,1,0,0,1.0,0,0,1
baseline-server@2.0.1,0,0,1,3,0,1,1,15,0,1,1,1,0,0,1.0,0,0,1
pp-react-content-loader@2.2.7,1,0,1,22,0,1,3,23,0,1,1,1,0,0,1.0,0,0,1
pp-react-content-loader@2.2.4,2,0,1,22,0,1,3,23,0,1,1,1,0,0,1.0,0,0,1
pp-react-content-loader@2.2.9,3,0,1,22,0,1,1,23,0,1,1,1,0,0,1.0,0,0,1
pp-react-content-loader@2.2.2,1,0,1,23,1,1,3,23,0,1,1,1,0,0,1.0,0,0,1
pp-react-content-loader@2.2.5,3,0,1,22,0,1,3,23,0,1,1,1,0,0,1.0,0,0,1
